Category Name,Category Name URL,Category Groups,CB Rank
Search Engine,https://www.crunchbase.com/category/search-engine-0d39,Internet Services,
Vacation Rental,https://www.crunchbase.com/category/vacation-rental,"Real Estate, Travel and Tourism",
Energy,https://www.crunchbase.com/category/energy-0ff0,Energy,
Fraud Detection,https://www.crunchbase.com/category/fraud-detection,"Financial Services, Payments, Privacy and Security",
Photography,https://www.crunchbase.com/category/photography,"Content and Publishing, Media and Entertainment",
Wired Telecommunications,https://www.crunchbase.com/category/wired-telecommunications,Messaging and Telecommunications,
Market Research,https://www.crunchbase.com/category/market-research,"Data and Analytics, Design",
Credit,https://www.crunchbase.com/category/credit,"Financial Services, Lending and Investments",
Wearables,https://www.crunchbase.com/category/wearables,"Consumer Electronics, Hardware",
Humanitarian,https://www.crunchbase.com/category/humanitarian,Community and Lifestyle,
Home Improvement,https://www.crunchbase.com/category/home-improvement,Real Estate,
Comics,https://www.crunchbase.com/category/comics,Consumer Goods,
Collection Agency,https://www.crunchbase.com/category/collection-agency,Administrative Services,
Nursing and Residential Care,https://www.crunchbase.com/category/nursing-and-residential-care,Health Care,
Ports and Harbors,https://www.crunchbase.com/category/ports-and-harbors,Transportation,
Food and Beverage,https://www.crunchbase.com/category/food-and-beverage,Food and Beverage,
Local Business,https://www.crunchbase.com/category/local-business,,
Music Label,https://www.crunchbase.com/category/music-label,"Media and Entertainment, Music and Audio",
Employee Benefits,https://www.crunchbase.com/category/employee-benefits,Health Care,
Parenting,https://www.crunchbase.com/category/parenting,Community and Lifestyle,
Food Trucks,https://www.crunchbase.com/category/food-trucks,Food and Beverage,
Biopharma,https://www.crunchbase.com/category/biopharma,"Biotechnology, Health Care, Science and Engineering",
Wood Processing,https://www.crunchbase.com/category/wood-processing,Manufacturing,
Micro Lending,https://www.crunchbase.com/category/micro-lending,"Financial Services, Lending and Investments",
Intelligent Systems,https://www.crunchbase.com/category/intelligent-systems,"Artificial Intelligence, Data and Analytics, Science and Engineering",
Ferry Service,https://www.crunchbase.com/category/ferry-service,Transportation,
Enterprise,https://www.crunchbase.com/category/enterprise,,
Domain Registrar,https://www.crunchbase.com/category/domain-registrar,Internet Services,
Energy Storage,https://www.crunchbase.com/category/energy-storage,Energy,
Music Streaming,https://www.crunchbase.com/category/music-streaming,"Internet Services, Media and Entertainment, Music and Audio",
NFC,https://www.crunchbase.com/category/nfc,Hardware,
Document Preparation,https://www.crunchbase.com/category/document-preparation,Administrative Services,
Freelance,https://www.crunchbase.com/category/freelance,Professional Services,
Crowdsourcing,https://www.crunchbase.com/category/crowdsourcing,,
Fertility,https://www.crunchbase.com/category/fertility,Health Care,
Bitcoin,https://www.crunchbase.com/category/bitcoin-1c16,"Financial Services, Payments, Software",
Trade Shows,https://www.crunchbase.com/category/trade-shows,Administrative Services,
Embedded Systems,https://www.crunchbase.com/category/embedded-systems,"Hardware, Science and Engineering, Software",
Diving,https://www.crunchbase.com/category/diving,Sports,
Blogging Platforms,https://www.crunchbase.com/category/blogging-platforms,"Content and Publishing, Media and Entertainment",
Chemical Engineering,https://www.crunchbase.com/category/chemical-engineering,Science and Engineering,
Fitness,https://www.crunchbase.com/category/fitness,Sports,
Water,https://www.crunchbase.com/category/water,Natural Resources,
CRM,https://www.crunchbase.com/category/crm,"Information Technology, Sales and Marketing, Software",
Ad Network,https://www.crunchbase.com/category/ad-network,Advertising,
Impact Investing,https://www.crunchbase.com/category/impact-investing,"Financial Services, Lending and Investments",
Funding Platform,https://www.crunchbase.com/category/funding-platform,"Financial Services, Lending and Investments",
Business Development,https://www.crunchbase.com/category/business-development,,
Blockchain,https://www.crunchbase.com/category/blockchain,,
Drones,https://www.crunchbase.com/category/drones,"Consumer Electronics, Consumer Goods, Hardware",
Therapeutics,https://www.crunchbase.com/category/therapeutics,Health Care,
Casual Games,https://www.crunchbase.com/category/casual-games,Gaming,
Semiconductor,https://www.crunchbase.com/category/semiconductor,"Hardware, Science and Engineering",
Contests,https://www.crunchbase.com/category/contests,Gaming,
GreenTech,https://www.crunchbase.com/category/greentech,Sustainability,
Men's,https://www.crunchbase.com/category/mens,,
Shipping,https://www.crunchbase.com/category/shipping,Transportation,
Collaboration,https://www.crunchbase.com/category/collaboration,,
Social Shopping,https://www.crunchbase.com/category/social-shopping,Commerce and Shopping,
Fruit,https://www.crunchbase.com/category/fruit-21b2,Food and Beverage,
Sex Industry,https://www.crunchbase.com/category/sex-industry,Community and Lifestyle,
Collaborative Consumption,https://www.crunchbase.com/category/collaborative-consumption-22fc,,
Consumer,https://www.crunchbase.com/category/consumer,,
Film Distribution,https://www.crunchbase.com/category/film-distribution,"Media and Entertainment, Video",
Archiving Service,https://www.crunchbase.com/category/archiving-service,Administrative Services,
EdTech,https://www.crunchbase.com/category/edtech,"Education, Software",
Procurement,https://www.crunchbase.com/category/procurement,Transportation,
Identity Management,https://www.crunchbase.com/category/identity-management,"Information Technology, Privacy and Security",
Speech Recognition,https://www.crunchbase.com/category/speech-recognition,"Data and Analytics, Software",
Social Media Marketing,https://www.crunchbase.com/category/social-media-marketing,Sales and Marketing,
Tobacco,https://www.crunchbase.com/category/tobacco,"Consumer Goods, Food and Beverage",
E-Commerce,https://www.crunchbase.com/category/e-commerce-275d,Commerce and Shopping,
Internet,https://www.crunchbase.com/category/internet,Internet Services,
Marketing,https://www.crunchbase.com/category/marketing-2795,Sales and Marketing,
Serious Games,https://www.crunchbase.com/category/serious-games,Gaming,
Oil and Gas,https://www.crunchbase.com/category/oil-and-gas,"Energy, Natural Resources",
Private Cloud,https://www.crunchbase.com/category/private-cloud,"Hardware, Information Technology, Internet Services, Software",
Chemical,https://www.crunchbase.com/category/chemical,Science and Engineering,
Web Development,https://www.crunchbase.com/category/web-development,Software,
File Sharing,https://www.crunchbase.com/category/file-sharing,Software,
Real Estate Investment,https://www.crunchbase.com/category/real-estate-investment,"Financial Services, Real Estate",
Gift Card,https://www.crunchbase.com/category/gift-card,"Commerce and Shopping, Financial Services",
Environmental Consulting,https://www.crunchbase.com/category/environmental-consulting,Professional Services,
Amusement Park and Arcade,https://www.crunchbase.com/category/amusement-park-and-arcade,Travel and Tourism,
Virtual World,https://www.crunchbase.com/category/virtual-world-2d1a,"Community and Lifestyle, Media and Entertainment, Software",
Sales Automation,https://www.crunchbase.com/category/sales-automation,"Information Technology, Sales and Marketing, Software",
Employment,https://www.crunchbase.com/category/employment,Professional Services,
B2C,https://www.crunchbase.com/category/b2c,,
Generation Y,https://www.crunchbase.com/category/generation-y,,
Alumni,https://www.crunchbase.com/category/alumni,,
Service Industry,https://www.crunchbase.com/category/service-industry,,
Business Intelligence,https://www.crunchbase.com/category/business-intelligence,Data and Analytics,
Virtual Assistant,https://www.crunchbase.com/category/virtual-assistant,Software,
Digital Media,https://www.crunchbase.com/category/digital-media-2f47,Media and Entertainment,
Performing Arts,https://www.crunchbase.com/category/performing-arts,Media and Entertainment,
Seafood,https://www.crunchbase.com/category/seafood,Food and Beverage,
Fossil Fuels,https://www.crunchbase.com/category/fossil-fuels,"Energy, Natural Resources",
Fuel,https://www.crunchbase.com/category/fuel,Energy,
Advanced Materials,https://www.crunchbase.com/category/advanced-materials,"Manufacturing, Science and Engineering",
Translation Service,https://www.crunchbase.com/category/translation-service,Professional Services,
Task Management,https://www.crunchbase.com/category/task-management,Software,
Corrections Facilities,https://www.crunchbase.com/category/corrections-facilities,Privacy and Security,
SEM,https://www.crunchbase.com/category/sem-3277,"Advertising, Internet Services, Sales and Marketing",
Pet,https://www.crunchbase.com/category/pet,Community and Lifestyle,
Emergency Medicine,https://www.crunchbase.com/category/emergency-medicine,Health Care,
Distillery,https://www.crunchbase.com/category/distillery,Food and Beverage,
Green Building,https://www.crunchbase.com/category/green-building,"Real Estate, Sustainability",
Mobile Payments,https://www.crunchbase.com/category/mobile-payments,"Financial Services, Mobile, Payments, Software",
Psychology,https://www.crunchbase.com/category/psychology,Health Care,
Skill Assessment,https://www.crunchbase.com/category/skill-assessment,Education,
Peer to Peer,https://www.crunchbase.com/category/peer-to-peer,,
Audiobooks,https://www.crunchbase.com/category/audiobooks,"Media and Entertainment, Music and Audio",
Trading Platform,https://www.crunchbase.com/category/trading-platform,"Financial Services, Lending and Investments",
Table Tennis,https://www.crunchbase.com/category/table-tennis,Sports,
Developer APIs,https://www.crunchbase.com/category/developer-apis,Software,
Timeshare,https://www.crunchbase.com/category/timeshare,"Real Estate, Travel and Tourism",
Medical Device,https://www.crunchbase.com/category/medical-device,Health Care,
Cosmetics,https://www.crunchbase.com/category/cosmetics,Consumer Goods,
Point of Sale,https://www.crunchbase.com/category/point-of-sale-37d6,Commerce and Shopping,
IT Infrastructure,https://www.crunchbase.com/category/it-infrastructure,Information Technology,
Consumer Goods,https://www.crunchbase.com/category/consumer-goods,Consumer Goods,
Recycling,https://www.crunchbase.com/category/recycling,Sustainability,
Travel Agency,https://www.crunchbase.com/category/travel-agency,Travel and Tourism,
Online Auctions,https://www.crunchbase.com/category/online-auctions,Commerce and Shopping,
Data Center,https://www.crunchbase.com/category/data-center,"Hardware, Information Technology",
Precious Metals,https://www.crunchbase.com/category/precious-metals,Natural Resources,
Content,https://www.crunchbase.com/category/content,Media and Entertainment,
Ad Targeting,https://www.crunchbase.com/category/ad-targeting,Advertising,
Consumer Reviews,https://www.crunchbase.com/category/consumer-reviews,Commerce and Shopping,
First Aid,https://www.crunchbase.com/category/first-aid,Health Care,
Google,https://www.crunchbase.com/category/google-3cb6,Platforms,
Higher Education,https://www.crunchbase.com/category/higher-education,Education,
CAD,https://www.crunchbase.com/category/cad-3cfd,"Design, Software",
Online Forums,https://www.crunchbase.com/category/online-forums,"Community and Lifestyle, Internet Services",
Timber,https://www.crunchbase.com/category/timber-3d5f,Natural Resources,
macOS,https://www.crunchbase.com/category/macos,"Platforms, Software",
Craft Beer,https://www.crunchbase.com/category/craft-beer,Food and Beverage,
Energy Management,https://www.crunchbase.com/category/energy-management,Energy,
Network Hardware,https://www.crunchbase.com/category/network-hardware,Hardware,
Ethereum,https://www.crunchbase.com/category/ethereum-3e04,,
Marine Technology,https://www.crunchbase.com/category/3e0e2772-75e9-4f7b-aa6d-a8dc3dc9e7c6,Science and Engineering,
Health Care,https://www.crunchbase.com/category/health-care,Health Care,
Android,https://www.crunchbase.com/category/android-3f49,"Mobile, Platforms, Software",
Electric Vehicle,https://www.crunchbase.com/category/electric-vehicle,Transportation,
Teenagers,https://www.crunchbase.com/category/teenagers,,
Legal Tech,https://www.crunchbase.com/category/3fb898d3-4b96-418e-a58e-eaff8295e182,Professional Services,
Public Transportation,https://www.crunchbase.com/category/public-transportation,Transportation,
Social Entrepreneurship,https://www.crunchbase.com/category/social-entrepreneurship,Community and Lifestyle,
Mineral,https://www.crunchbase.com/category/mineral,Natural Resources,
Ad Exchange,https://www.crunchbase.com/category/ad-exchange,Advertising,
Robotics,https://www.crunchbase.com/category/robotics,"Hardware, Science and Engineering, Software",
GPU,https://www.crunchbase.com/category/gpu,Hardware,
Penetration Testing,https://www.crunchbase.com/category/penetration-testing,"Information Technology, Privacy and Security",
Cloud Infrastructure,https://www.crunchbase.com/category/cloud-infrastructure,"Hardware, Internet Services",
Online Games,https://www.crunchbase.com/category/online-games,Gaming,
Toys,https://www.crunchbase.com/category/toys,Consumer Goods,
Stock Exchanges,https://www.crunchbase.com/category/stock-exchanges,"Financial Services, Lending and Investments",
Content Marketing,https://www.crunchbase.com/category/content-marketing,Sales and Marketing,
Enterprise Applications,https://www.crunchbase.com/category/enterprise-applications,"Apps, Software",
Home Renovation,https://www.crunchbase.com/category/home-renovation,Real Estate,
MOOC,https://www.crunchbase.com/category/mooc,"Education, Software",
Cyber Security,https://www.crunchbase.com/category/cyber-security,"Information Technology, Privacy and Security",
TV Production,https://www.crunchbase.com/category/tv-production,"Media and Entertainment, Video",
Water Transportation,https://www.crunchbase.com/category/water-transportation,Transportation,
Genetics,https://www.crunchbase.com/category/genetics,"Biotechnology, Health Care",
Xbox,https://www.crunchbase.com/category/xbox,"Consumer Electronics, Hardware, Platforms",
Outdoors,https://www.crunchbase.com/category/outdoors,Sports,
Classifieds,https://www.crunchbase.com/category/classifieds,Commerce and Shopping,
Event Promotion,https://www.crunchbase.com/category/event-promotion,"Events, Media and Entertainment",
VoIP,https://www.crunchbase.com/category/voip-487d,"Information Technology, Internet Services, Messaging and Telecommunications",
Presentation Software,https://www.crunchbase.com/category/presentation-software,Software,
Fleet Management,https://www.crunchbase.com/category/fleet-management,Transportation,
Recruiting,https://www.crunchbase.com/category/recruiting,Professional Services,
Auto Insurance,https://www.crunchbase.com/category/auto-insurance,Financial Services,
Loyalty Programs,https://www.crunchbase.com/category/loyalty-programs,Sales and Marketing,
CMS,https://www.crunchbase.com/category/cms,"Information Technology, Software",
Skiing,https://www.crunchbase.com/category/skiing,Sports,
Winery,https://www.crunchbase.com/category/winery,Food and Beverage,
Consumer Applications,https://www.crunchbase.com/category/consumer-applications,"Apps, Software",
Quantified Self,https://www.crunchbase.com/category/quantified-self-4b52,"Biotechnology, Data and Analytics",
DIY,https://www.crunchbase.com/category/diy-4b6c,Consumer Goods,
SEO,https://www.crunchbase.com/category/seo,"Internet Services, Sales and Marketing",
Auctions,https://www.crunchbase.com/category/auctions,Commerce and Shopping,
Rehabilitation,https://www.crunchbase.com/category/rehabilitation,Health Care,
Security,https://www.crunchbase.com/category/security-4c60,Privacy and Security,
Mining,https://www.crunchbase.com/category/mining-4ce2,Natural Resources,
Contact Management,https://www.crunchbase.com/category/contact-management,"Information Technology, Software",
Edutainment,https://www.crunchbase.com/category/edutainment,"Education, Media and Entertainment",
Secondary Education,https://www.crunchbase.com/category/secondary-education,Education,
Fantasy Sports,https://www.crunchbase.com/category/fantasy-sports,"Gaming, Sports",
Podcast,https://www.crunchbase.com/category/podcast,"Media and Entertainment, Music and Audio",
Spam Filtering,https://www.crunchbase.com/category/spam-filtering,Information Technology,
Financial Exchanges,https://www.crunchbase.com/category/financial-exchanges,"Financial Services, Lending and Investments",
Sex Tech,https://www.crunchbase.com/category/sex-tech,"Hardware, Software",
Restaurants,https://www.crunchbase.com/category/restaurants,Food and Beverage,
Nightclubs,https://www.crunchbase.com/category/nightclubs,"Events, Media and Entertainment",
Electronic Design Automation (EDA),https://www.crunchbase.com/category/electronic-design-automation-eda,"Hardware, Software",
Indoor Positioning,https://www.crunchbase.com/category/indoor-positioning,Navigation and Mapping,
Reading Apps,https://www.crunchbase.com/category/reading-apps,"Apps, Software",
Equestrian,https://www.crunchbase.com/category/equestrian,Agriculture and Farming,
Social Media,https://www.crunchbase.com/category/social-media,"Internet Services, Media and Entertainment",
Commercial Insurance,https://www.crunchbase.com/category/commercial-insurance,Financial Services,
Film Production,https://www.crunchbase.com/category/film-production,"Media and Entertainment, Video",
Life Insurance,https://www.crunchbase.com/category/life-insurance,Financial Services,
Personal Finance,https://www.crunchbase.com/category/personal-finance,Financial Services,
Personal Branding,https://www.crunchbase.com/category/personal-branding,Sales and Marketing,
Satellite Communication,https://www.crunchbase.com/category/satellite-communication,Hardware,
Theatre,https://www.crunchbase.com/category/theatre,Media and Entertainment,
Web Hosting,https://www.crunchbase.com/category/web-hosting,Internet Services,
Content Discovery,https://www.crunchbase.com/category/content-discovery,"Content and Publishing, Media and Entertainment",
Personalization,https://www.crunchbase.com/category/personalization,,
Railroad,https://www.crunchbase.com/category/railroad,Transportation,
SNS,https://www.crunchbase.com/category/sns,Software,
Made to Order,https://www.crunchbase.com/category/made-to-order-56eb,Commerce and Shopping,
Home Services,https://www.crunchbase.com/category/home-services,Real Estate,
Consumer Software,https://www.crunchbase.com/category/consumer-software,Software,
Printing,https://www.crunchbase.com/category/printing,"Content and Publishing, Media and Entertainment",
Biotechnology,https://www.crunchbase.com/category/biotechnology,"Biotechnology, Science and Engineering",
Limousine Service,https://www.crunchbase.com/category/limousine-service,Transportation,
Staffing Agency,https://www.crunchbase.com/category/staffing-agency,Administrative Services,
Environmental Engineering,https://www.crunchbase.com/category/environmental-engineering-5941,"Science and Engineering, Sustainability",
American Football,https://www.crunchbase.com/category/american-football,Sports,
Outsourcing,https://www.crunchbase.com/category/outsourcing-59ca,Professional Services,
Facebook,https://www.crunchbase.com/category/facebook-59d1,Platforms,
Crowdfunding,https://www.crunchbase.com/category/crowdfunding,Financial Services,
Transaction Processing,https://www.crunchbase.com/category/transaction-processing,"Financial Services, Payments, Software",
Publishing,https://www.crunchbase.com/category/publishing,"Content and Publishing, Media and Entertainment",
SaaS,https://www.crunchbase.com/category/saas-5c4e,Software,
Tourism,https://www.crunchbase.com/category/tourism,Travel and Tourism,
Document Management,https://www.crunchbase.com/category/document-management,"Information Technology, Software",
Adventure Travel,https://www.crunchbase.com/category/adventure-travel,Travel and Tourism,
Multi-level Marketing,https://www.crunchbase.com/category/multi-level-marketing,Sales and Marketing,
Application Performance Management,https://www.crunchbase.com/category/application-performance-management,"Data and Analytics, Software",
Recreational Vehicles,https://www.crunchbase.com/category/recreational-vehicles,Transportation,
App Marketing,https://www.crunchbase.com/category/app-marketing,Sales and Marketing,
Organic Food,https://www.crunchbase.com/category/organic-food,Food and Beverage,
Machine Learning,https://www.crunchbase.com/category/machine-learning,"Artificial Intelligence, Data and Analytics, Software",
Horticulture,https://www.crunchbase.com/category/horticulture,Agriculture and Farming,
Family,https://www.crunchbase.com/category/family,,
EBooks,https://www.crunchbase.com/category/ebooks,"Content and Publishing, Media and Entertainment",
Console Games,https://www.crunchbase.com/category/console-games,Gaming,
Funerals,https://www.crunchbase.com/category/funerals,Health Care,
Developer Tools,https://www.crunchbase.com/category/developer-tools,Software,
Marine Transportation,https://www.crunchbase.com/category/marine-transportation,Transportation,
College Recruiting,https://www.crunchbase.com/category/college-recruiting,"Administrative Services, Education",
RFID,https://www.crunchbase.com/category/rfid,Hardware,
Food Delivery,https://www.crunchbase.com/category/food-delivery,"Food and Beverage, Transportation",
Art,https://www.crunchbase.com/category/art,Media and Entertainment,
Surfing,https://www.crunchbase.com/category/surfing,Sports,
Diabetes,https://www.crunchbase.com/category/diabetes,Health Care,
RISC,https://www.crunchbase.com/category/risc,Hardware,
Hospital,https://www.crunchbase.com/category/hospital-650c,Health Care,
Rugby,https://www.crunchbase.com/category/rugby,Sports,
Nutrition,https://www.crunchbase.com/category/nutrition-654b,"Food and Beverage, Health Care",
Shopping,https://www.crunchbase.com/category/shopping,Commerce and Shopping,
Vending and Concessions,https://www.crunchbase.com/category/vending-and-concessions,Commerce and Shopping,
Ticketing,https://www.crunchbase.com/category/ticketing,"Events, Media and Entertainment",
Property Insurance,https://www.crunchbase.com/category/property-insurance,Financial Services,
Electrical Distribution,https://www.crunchbase.com/category/electrical-distribution,Energy,
Shoes,https://www.crunchbase.com/category/shoes,"Clothing and Apparel, Consumer Goods",
WebOS,https://www.crunchbase.com/category/webos,Platforms,
Banking,https://www.crunchbase.com/category/banking,"Financial Services, Lending and Investments",
Quantum Computing,https://www.crunchbase.com/category/68413bd1-e42d-4cf1-815b-62e64a6b922a,Science and Engineering,
Email,https://www.crunchbase.com/category/email,"Information Technology, Internet Services, Messaging and Telecommunications",
Paper Manufacturing,https://www.crunchbase.com/category/paper-manufacturing,Manufacturing,
Nightlife,https://www.crunchbase.com/category/nightlife-68e7,"Events, Media and Entertainment",
Women's,https://www.crunchbase.com/category/womens,,
Politics,https://www.crunchbase.com/category/politics,Government and Military,
Agriculture,https://www.crunchbase.com/category/agriculture,Agriculture and Farming,
Advertising,https://www.crunchbase.com/category/advertising-6cb6,"Advertising, Sales and Marketing",
Creative Agency,https://www.crunchbase.com/category/creative-agency,"Content and Publishing, Media and Entertainment",
Price Comparison,https://www.crunchbase.com/category/price-comparison,Commerce and Shopping,
Presentations,https://www.crunchbase.com/category/presentations,Software,
STEM Education,https://www.crunchbase.com/category/stem-education,"Education, Science and Engineering",
Reputation,https://www.crunchbase.com/category/reputation,Information Technology,
iOS,https://www.crunchbase.com/category/ios-6e02,"Mobile, Platforms, Software",
Debt Collections,https://www.crunchbase.com/category/debt-collections,"Administrative Services, Financial Services",
Snack Food,https://www.crunchbase.com/category/snack-food,Food and Beverage,
Photo Sharing,https://www.crunchbase.com/category/photo-sharing,"Content and Publishing, Media and Entertainment",
Digital Entertainment,https://www.crunchbase.com/category/digital-entertainment,Media and Entertainment,
Sensor,https://www.crunchbase.com/category/sensor,Hardware,
Industrial Manufacturing,https://www.crunchbase.com/category/industrial-manufacturing,Manufacturing,
Sales,https://www.crunchbase.com/category/sales,Sales and Marketing,
Beauty,https://www.crunchbase.com/category/beauty,Consumer Goods,
QR Codes,https://www.crunchbase.com/category/qr-codes,Software,
Application Specific Integrated Circuit (ASIC),https://www.crunchbase.com/category/application-specific-integrated-circuit-asic,Hardware,
Social Network,https://www.crunchbase.com/category/social-network-714d,Internet Services,
Charter Schools,https://www.crunchbase.com/category/charter-schools,Education,
Lead Management,https://www.crunchbase.com/category/lead-management,Sales and Marketing,
Coworking,https://www.crunchbase.com/category/coworking,Real Estate,
Car Sharing,https://www.crunchbase.com/category/car-sharing,Transportation,
Product Management,https://www.crunchbase.com/category/product-management,,
Advertising Platforms,https://www.crunchbase.com/category/advertising-platforms,Advertising,
Delivery Service,https://www.crunchbase.com/category/delivery-service-758d,Transportation,
Rental,https://www.crunchbase.com/category/rental,Commerce and Shopping,
Military,https://www.crunchbase.com/category/military,"Government and Military, Information Technology",
Jewelry,https://www.crunchbase.com/category/jewelry,Consumer Goods,
3D Technology,https://www.crunchbase.com/category/3d-technology,"Hardware, Software",
Unified Communications,https://www.crunchbase.com/category/unified-communications-76fb,"Information Technology, Internet Services, Messaging and Telecommunications",
Marketplace,https://www.crunchbase.com/category/marketplace-772d,Commerce and Shopping,
Computer,https://www.crunchbase.com/category/computer,"Consumer Electronics, Hardware",
Homeland Security,https://www.crunchbase.com/category/homeland-security,Privacy and Security,
Cloud Computing,https://www.crunchbase.com/category/cloud-computing,"Internet Services, Software",
Non Profit,https://www.crunchbase.com/category/non-profit,,
Natural Language Processing,https://www.crunchbase.com/category/natural-language-processing,"Artificial Intelligence, Data and Analytics, Software",
UX Design,https://www.crunchbase.com/category/ux-design,Design,
Media and Entertainment,https://www.crunchbase.com/category/media-and-entertainment,Media and Entertainment,
Mobile Apps,https://www.crunchbase.com/category/mobile-apps,"Apps, Mobile, Software",
eSports,https://www.crunchbase.com/category/esports,Sports,
Racing,https://www.crunchbase.com/category/racing,Sports,
Consumer Research,https://www.crunchbase.com/category/consumer-research,"Data and Analytics, Design",
Management Consulting,https://www.crunchbase.com/category/management-consulting,Professional Services,
Drone Management,https://www.crunchbase.com/category/drone-management,"Hardware, Software",
Swimming,https://www.crunchbase.com/category/swimming,Sports,
Mining Technology,https://www.crunchbase.com/category/mining-technology,Natural Resources,
Nutraceutical,https://www.crunchbase.com/category/nutraceutical,Health Care,
Tennis,https://www.crunchbase.com/category/tennis,Sports,
Parking,https://www.crunchbase.com/category/parking,Transportation,
PC Games,https://www.crunchbase.com/category/pc-games,Gaming,
Association,https://www.crunchbase.com/category/association,,
Supply Chain Management,https://www.crunchbase.com/category/supply-chain-management,Transportation,
Call Center,https://www.crunchbase.com/category/call-center,Administrative Services,
Ad Retargeting,https://www.crunchbase.com/category/ad-retargeting,Advertising,
Q&A,https://www.crunchbase.com/category/qa,Community and Lifestyle,
Gambling,https://www.crunchbase.com/category/gambling,Gaming,
Animation,https://www.crunchbase.com/category/animation,"Media and Entertainment, Video",
Social,https://www.crunchbase.com/category/social,,
Guides,https://www.crunchbase.com/category/guides,Media and Entertainment,
Rental Property,https://www.crunchbase.com/category/rental-property,Real Estate,
Emerging Markets,https://www.crunchbase.com/category/emerging-markets,,
Assistive Technology,https://www.crunchbase.com/category/assistive-technology,Health Care,
Property Development,https://www.crunchbase.com/category/property-development,Real Estate,
Ride Sharing,https://www.crunchbase.com/category/ride-sharing,Transportation,
Celebrity,https://www.crunchbase.com/category/celebrity,Media and Entertainment,
ISP,https://www.crunchbase.com/category/isp,Internet Services,
Meeting Software,https://www.crunchbase.com/category/meeting-software,"Messaging and Telecommunications, Software",
Lending,https://www.crunchbase.com/category/lending,Financial Services,
Furniture,https://www.crunchbase.com/category/furniture,Consumer Goods,
Travel,https://www.crunchbase.com/category/travel,Travel and Tourism,
Delivery,https://www.crunchbase.com/category/delivery,Administrative Services,
TV,https://www.crunchbase.com/category/tv,"Media and Entertainment, Video",
Mobile Devices,https://www.crunchbase.com/category/mobile-devices,"Consumer Electronics, Hardware, Mobile",
Office Administration,https://www.crunchbase.com/category/office-administration,Administrative Services,
Travel Accommodations,https://www.crunchbase.com/category/travel-accommodations,Travel and Tourism,
Smart Home,https://www.crunchbase.com/category/smart-home-8900,"Consumer Electronics, Real Estate",
Credit Cards,https://www.crunchbase.com/category/credit-cards,"Financial Services, Lending and Investments, Payments",
Autonomous Vehicles,https://www.crunchbase.com/category/autonomous-vehicles,Transportation,
Augmented Reality,https://www.crunchbase.com/category/augmented-reality,"Hardware, Software",
Consumer Electronics,https://www.crunchbase.com/category/consumer-electronics,"Consumer Electronics, Hardware",
Commercial Real Estate,https://www.crunchbase.com/category/commercial-real-estate,Real Estate,
Aerospace,https://www.crunchbase.com/category/aerospace-8a20,Science and Engineering,
Farmers Market,https://www.crunchbase.com/category/farmers-market,Food and Beverage,
Collectibles,https://www.crunchbase.com/category/collectibles,Commerce and Shopping,
Prediction Markets,https://www.crunchbase.com/category/prediction-markets,Financial Services,
Health Diagnostics,https://www.crunchbase.com/category/health-diagnostics,Health Care,
